"","param","cv","metrics","val_acc","matrix","model"
"31","n_neighbours","cv1","30",0.442694663,"[[ 243    0    0    0    0    0    0    0    1   15   27]
 [   0  340    0    0    1    0    0    0   13  237    0]
 [   0    0   22    0    0    0    1    0    1    4    0]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    2    0    0   45    0    3    0  111  457    0]
 [   0    2    0    0    3    0    0    0   12  170    0]
 [   0    1    0    0   28    0    5    0   84  188    0]
 [   1    3    0    0    0    0    0    9  601  264    0]
 [   2    2    0    0   11    0    2    0  657 1403    0]
 [   0    2    0    0    2    0    0    0   61 1602    0]
 [  65   13    0    0    0    0    0    0    1   18  113]]","knn"
"32","n_neighbours","cv1","50",0.432633421,"[[ 235    0    0    0    0    0    0    0    0   19   32]
 [   0  340    0    0    0    0    0    0    9  242    0]
 [   0    0   20    0    0    0    0    0    3    5    0]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    1    0    0   20    0    2    0   94  501    0]
 [   0    1    0    0    0    0    0    0    6  180    0]
 [   0    1    0    0   14    0    2    0   73  216    0]
 [   1    3    0    0    0    0    0    5  607  262    0]
 [   2    3    0    0    2    0    1    0  590 1479    0]
 [   0    0    0    0    2    0    0    0   25 1640    0]
 [  62   14    0    0    1    0    0    0    0   18  115]]","knn"
"33","n_neighbours","cv1","70",0.428988043,"[[ 235    0    0    0    0    0    0    0    0   19   32]
 [   0  337    0    0    0    0    0    0    8  246    0]
 [   0    0   18    0    0    0    0    0    2    7    1]
 [   1    0    0    0    0    0    0    0    2    7    0]
 [   0    0    0    0   11    0    0    0   89  518    0]
 [   0    0    0    0    0    0    0    0    5  182    0]
 [   0    0    0    0    7    0    1    0   63  235    0]
 [   1    3    0    0    0    0    0    2  607  265    0]
 [   2    2    0    0    0    0    0    0  572 1501    0]
 [   0    0    0    0    1    0    0    0   14 1652    0]
 [  61   16    0    0    0    0    0    0    0   19  114]]","knn"
"34","n_neighbours","cv1","99",0.424759405,"[[ 231    0    0    0    0    0    0    0    0   19   36]
 [   0  334    0    0    0    0    0    0    8  249    0]
 [   0    0   17    0    0    0    0    0    1    9    1]
 [   1    0    0    0    0    0    0    0    1    8    0]
 [   0    0    0    0   10    0    0    0   67  541    0]
 [   0    0    0    0    0    0    0    0    5  182    0]
 [   0    0    0    0    5    0    0    0   59  242    0]
 [   1    3    0    0    0    0    0    3  600  271    0]
 [   2    0    0    0    0    0    0    0  548 1527    0]
 [   0    0    0    0    1    0    0    0   10 1656    0]
 [  60   16    0    0    0    0    0    0    0   20  114]]","knn"
"35","n_neighbours","cv2","4",0.411052785,"[[ 233    5    0    0    0    1    0    0    0   12   35]
 [   1  403    0    0    6    0    1    0   20  160    0]
 [   0    3   18    0    0    0    1    0    1    4    1]
 [   0    1    0    0    1    0    0    0    2    6    0]
 [   0   45    0    7   97    1   30    0   93  345    0]
 [   0   12    0    0    9    2    0    0   18  146    0]
 [   0   11    0    3   59    1   17    0   49  166    0]
 [   0   49    0    0   14    5    8   37  494  271    0]
 [   1  115    0    5  115   10   41    2  575 1213    0]
 [   0  115    0    2   57    6   11    0  143 1333    0]
 [  67   19    0    0    1    2    0    0    1   16  104]]","knn"
"36","n_neighbours","cv2","5",0.413969087,"[[ 211    5    0    0    0    2    0    0    0   14   54]
 [   1  391    0    0    4    0    1    0   17  177    0]
 [   0    4   18    0    0    0    1    0    1    4    0]
 [   0    1    0    0    0    0    0    0    2    7    0]
 [   0   28    0    4   88    1   37    0  106  354    0]
 [   0    8    0    0    6    1    0    0   26  146    0]
 [   0    5    0    2   54    0   19    0   59  167    0]
 [   0   33    0    0   13    2    6   41  498  285    0]
 [   1   88    0    1   80    9   45    4  594 1255    0]
 [   0   89    0    0   31    6   11    0  170 1360    0]
 [  52   18    0    0    2    1    1    0    1   19  116]]","knn"
"37","n_neighbours","cv2","6",0.423155439,"[[ 235    7    0    0    0    0    0    0    0   12   32]
 [   0  397    0    0    3    0    2    0   17  172    0]
 [   0    4   19    0    0    0    1    0    0    4    0]
 [   0    0    0    0    1    0    0    0    1    7    1]
 [   0   21    0    0   84    2   33    0  114  364    0]
 [   0    6    0    0    4    0    1    0   23  153    0]
 [   0    3    0    0   55    0   22    0   53  173    0]
 [   0   31    0    0   11    1    5   37  511  282    0]
 [   1   75    0    0   84    7   41    4  598 1267    0]
 [   0   72    0    0   31    5    9    0  146 1404    0]
 [  60   21    0    0    3    1    1    0    1   17  106]]","knn"
"38","n_neighbours","cv2","8",0.430300379,"[[ 231    4    0    0    0    0    0    0    0   17   34]
 [   0  392    0    0    1    0    0    0   16  182    0]
 [   0    3   18    0    0    0    0    0    3    4    0]
 [   0    0    0    0    1    0    0    0    0    8    1]
 [   0   15    0    0   72    1   16    0  108  406    0]
 [   0    4    0    0    3    0    1    0   25  154    0]
 [   0    3    0    0   39    0   10    0   62  192    0]
 [   0   25    0    0    7    0    1   30  525  290    0]
 [   1   51    0    0   57    1   14    3  629 1320    1]
 [   0   46    0    0   25    1    5    0  125 1465    0]
 [  61   18    0    0    1    0    1    0    2   23  104]]","knn"
"39","n_neighbours","cv2","10",0.437153689,"[[ 237    2    0    0    0    0    0    0    0   16   31]
 [   0  393    0    0    0    0    0    0   18  180    0]
 [   0    3   18    0    0    0    0    0    1    5    1]
 [   0    1    0    0    1    0    0    0    0    7    1]
 [   0   14    0    0   61    1   13    0  111  418    0]
 [   0    5    0    0    4    0    0    0   22  156    0]
 [   0    0    0    0   35    0   10    0   56  205    0]
 [   0   22    0    0    4    1    0   27  525  299    0]
 [   1   41    0    0   33    1    7    2  627 1365    0]
 [   0   37    0    0   14    0    4    0   94 1518    0]
 [  62   13    0    0    2    0    1    0    1   24  107]]","knn"
"40","n_neighbours","cv2","30",0.433070866,"[[ 220    0    0    0    0    0    0    0    0   18   48]
 [   0  375    0    0    0    0    0    0    2  214    0]
 [   0    1   18    0    0    0    0    0    1    7    1]
 [   0    0    0    0    0    0    0    0    2    7    1]
 [   0    2    0    0   18    0    2    0   96  500    0]
 [   0    0    0    0    0    0    0    0    9  178    0]
 [   0    1    0    0    9    0    1    0   64  231    0]
 [   0    3    0    0    1    0    0    8  576  290    0]
 [   1    7    0    0    2    0    0    0  595 1472    0]
 [   0    1    0    0    3    0    0    0   40 1623    0]
 [  55   12    0    0    0    0    0    0    1   30  112]]","knn"
