cv,param,metrics,val_acc,matrix
cv4,n_neighbours,70,0.433216681,"[[ 227    0    0    0    0    0    0    0    0   21   38]
 [   0  373    0    0    0    0    0    0    6  212    0]
 [   0    1   15    0    0    0    0    0    1    8    3]
 [   0    1    0    0    0    0    0    0    2    6    1]
 [   0    0    0    0    7    0    0    0   94  517    0]
 [   0    0    0    0    0    0    0    0    4  183    0]
 [   0    1    0    0    1    0    1    0   61  242    0]
 [   1    0    0    0    0    0    0    5  606  266    0]
 [   2    5    0    0    0    0    0    0  571 1499    0]
 [   0    2    0    0    0    0    0    0   17 1648    0]
 [  52   10    0    0    0    0    0    0    3   21  124]]"
cv4,n_neighbours,99,0.429425488,"[[ 219    1    0    0    0    0    0    0    0   21   45]
 [   0  367    0    0    0    0    0    0    5  219    0]
 [   0    1   15    0    0    0    0    0    2    7    3]
 [   0    1    0    0    0    0    0    0    0    8    1]
 [   0    0    0    0    4    0    0    0   85  529    0]
 [   0    0    0    0    0    0    0    0    2  185    0]
 [   0    0    0    0    1    0    0    0   54  251    0]
 [   1    0    0    0    0    0    0    4  613  260    0]
 [   2    3    0    0    0    0    0    0  549 1523    0]
 [   0    0    0    0    0    0    0    0    7 1660    0]
 [  48   13    0    0    0    0    0    0    2   20  127]]"
cv5,n_neighbours,4,0.420822397,"[[ 216    6    0    0    1    0    0    0    1   21   41]
 [   0  393    0    0   16    0    0    0   31  151    0]
 [   1    2   21    0    0    1    1    0    0    1    1]
 [   0    2    0    0    1    1    0    0    3    2    1]
 [   0   31    0    9  150    5   26    0  141  256    0]
 [   0   15    0    0    8    1    1    0   41  121    0]
 [   0   19    0    4   73    1   16    0   76  117    0]
 [   1   43    0    0   28    9    5   49  490  253    0]
 [   0  110    0    3  165   17   37    0  772  973    0]
 [   0  110    0    1   97   18    5    0  286 1150    0]
 [  53   26    0    0    1    0    0    0    0   12  118]]"
cv5,n_neighbours,5,0.430008749,"[[ 197    4    0    0    1    2    0    0    0   23   59]
 [   0  391    0    0    6    0    0    0   40  154    0]
 [   1    4   21    0    0    0    1    0    0    1    0]
 [   0    2    0    0    1    0    0    0    2    4    1]
 [   0   18    0    2  140    2   31    0  164  261    0]
 [   0   11    0    0    4    1    2    0   44  125    0]
 [   0   12    0    1   68    1   20    0   82  122    0]
 [   1   28    0    1   14    6    8   51  515  254    0]
 [   0   82    0    1  124   10   52    0  812  996    0]
 [   0   74    0    0   61    5    5    0  340 1182    0]
 [  37   26    0    0    0    0    1    0    0   12  134]]"
cv5,n_neighbours,6,0.43802858,"[[ 213    6    0    0    0    0    0    0    1   19   47]
 [   0  387    0    0    8    1    2    0   48  145    0]
 [   1    2   21    0    0    0    0    0    1    3    0]
 [   0    2    0    0    0    0    0    0    3    4    1]
 [   0   13    0    0  147    3   26    0  165  264    0]
 [   0    8    0    0    7    1    2    0   45  124    0]
 [   0    8    0    1   76    1   19    0   85  116    0]
 [   1   29    0    0   15    8    6   50  521  248    0]
 [   0   64    0    0  135   10   36    0  799 1033    0]
 [   0   56    0    0   61    4    9    0  285 1252    0]
 [  55   23    0    0    1    0    0    0    0   16  115]]"
cv5,n_neighbours,8,0.44546515,"[[ 207    2    0    0    1    1    0    0    0   23   52]
 [   0  381    0    0    5    0    1    0   37  167    0]
 [   1    2   21    0    0    0    0    0    1    3    0]
 [   0    2    0    0    0    0    0    0    3    4    1]
 [   0   11    0    0  123    2   11    0  153  318    0]
 [   0    3    0    0    6    0    1    0   35  142    0]
 [   0    5    0    0   70    0    8    0   85  138    0]
 [   1   18    0    0    5    2    2   31  546  273    0]
 [   0   42    0    0   93    2   21    1  820 1098    0]
 [   0   35    0    0   45    0    1    0  240 1346    0]
 [  53   21    0    0    1    0    0    0    1   16  118]]"
cv5,n_neighbours,10,0.451589385,"[[ 220    3    0    0    1    1    0    0    0   22   39]
 [   0  373    0    0    3    0    0    0   34  181    0]
 [   1    2   21    0    0    0    0    0    2    2    0]
 [   0    2    0    0    0    0    0    0    3    4    1]
 [   0    8    0    0  113    0    7    0  176  314    0]
 [   0    2    0    0    3    0    1    0   32  149    0]
 [   0    4    0    0   61    0    7    0   99  135    0]
 [   1    8    0    0    7    2    0   36  559  265    0]
 [   0   35    0    0   73    1   11    1  825 1131    0]
 [   0   26    0    0   40    0    1    0  218 1382    0]
 [  56   15    0    0    1    0    0    0    0   18  120]]"
cv5,n_neighbours,30,0.44575678,"[[ 208    2    0    0    0    0    0    0    0   26   50]
 [   0  363    0    0    0    0    0    0   14  214    0]
 [   1    1   20    0    0    0    0    0    2    4    0]
 [   0    2    0    0    0    0    0    0    1    7    0]
 [   0    0    0    0   45    0    1    0  152  420    0]
 [   0    0    0    0    2    0    0    0   11  174    0]
 [   0    0    0    0   28    0    0    0   87  191    0]
 [   1    1    0    0    2    0    0    9  585  280    0]
 [   0    6    0    0   11    0    1    0  708 1351    0]
 [   0    2    0    0    5    0    0    0   84 1576    0]
 [  44   12    0    0    0    0    0    0    1   25  128]]"
cv5,n_neighbours,50,0.441819773,"[[ 205    1    0    0    0    0    0    0    0   26   54]
 [   0  360    0    0    0    0    0    0    8  223    0]
 [   1    1   20    0    0    0    0    0    1    5    0]
 [   0    1    0    0    0    0    0    0    2    7    0]
 [   0    0    0    0   21    0    0    0  144  453    0]
 [   0    0    0    0    1    0    0    0    5  181    0]
 [   0    0    0    0   14    0    0    0   77  215    0]
 [   1    0    0    0    1    0    0    8  600  268    0]
 [   0    5    0    0    3    0    0    0  664 1405    0]
 [   0    1    0    0    2    0    0    0   38 1626    0]
 [  47   14    0    0    0    0    0    0    2   21  126]]"
cv5,n_neighbours,70,0.435695538,"[[ 209    1    0    0    0    0    0    0    0   26   50]
 [   0  356    0    0    0    0    0    0    8  227    0]
 [   1    0   18    0    0    0    0    0    1    7    1]
 [   0    0    0    0    0    0    0    0    2    8    0]
 [   0    0    0    0   13    0    0    0  117  488    0]
 [   0    0    0    0    1    0    0    0    5  181    0]
 [   0    0    0    0    8    0    1    0   66  231    0]
 [   1    0    0    0    0    0    0    4  604  269    0]
 [   0    5    0    0    2    0    0    0  623 1447    0]
 [   0    1    0    0    0    0    0    0   29 1637    0]
 [  46   12    0    0    0    0    0    0    2   23  127]]"
