metrics,matrix,val_acc,cv,param
10,"[[ 278    0    0    0    0    0    0    0    2    0    6]
 [   1  393    0    0    0    0    0    0   22  174    1]
 [   0    2   14    0    0    0    0    0   10    1    1]
 [   0    1    0    0    0    0    0    0    6    2    1]
 [   0    1    0    0   38    0    0    0  374  205    0]
 [   0    0    0    0    0    0    0    0   25  162    0]
 [   0    0    0    0    9    0    0    1  244   52    0]
 [   0    0    0    0    0    0    0  780   98    0    0]
 [   1    3    0    0    1    0    0  133 1401  538    0]
 [   0    1    0    0    1    0    0    0  148 1516    1]
 [ 100    3    0    0    0    0    0    1    7    7   92]]",0.65791776,cv2,min_leaf
1,"[[ 276    1    0    0    0    0    0    0    1    0    8]
 [   0  399    0    0    1    0    0    0   22  166    3]
 [   0    1   16    0    0    0    0    0    8    2    1]
 [   0    1    0    0    0    0    0    0    5    2    2]
 [   0    1    0    0   92    0    0    0  320  205    0]
 [   0    0    0    0    2    0    0    0   24  161    0]
 [   0    0    0    0   22    0    0    0  241   43    0]
 [   0    0    0    0    0    0    0  774  104    0    0]
 [   0    2    0    0    4    0    0  143 1462  466    0]
 [   0    0    0    0    8    0    0    0  176 1480    3]
 [  96    2    0    0    0    0    0    0    4   10   98]]",0.670312044,cv3,min_leaf
2,"[[ 277    1    0    0    0    0    0    1    1    0    6]
 [   0  401    0    0    2    0    0    0   19  166    3]
 [   0    1   16    0    0    0    0    0    7    3    1]
 [   0    0    0    0    0    0    0    0    6    2    2]
 [   0    1    0    0   74    0    0    0  336  207    0]
 [   0    0    0    0    1    0    0    0   25  161    0]
 [   0    0    0    0   22    0    0    0  241   43    0]
 [   0    1    0    0    0    0    0  771  106    0    0]
 [   0    2    0    0    3    0    0  144 1423  505    0]
 [   0    0    0    0    6    0    0    0  159 1499    3]
 [  98    0    0    0    1    0    0    1    6    9   95]]",0.664333625,cv3,min_leaf
5,"[[ 276    1    0    0    0    0    0    0    1    0    8]
 [   0  400    0    0    0    0    0    0   22  166    3]
 [   1    1   16    0    0    0    0    0    6    3    1]
 [   0    1    0    0    0    0    0    0    7    1    1]
 [   0    2    0    0   51    0    0    2  360  203    0]
 [   0    0    0    0    1    0    0    0   17  169    0]
 [   0    0    0    0   19    0    0    0  254   33    0]
 [   0    1    0    0    0    0    0  775  102    0    0]
 [   0    4    0    0    2    0    0  141 1399  531    0]
 [   0    0    0    0    5    0    0    0  133 1527    2]
 [ 101    3    0    0    0    0    0    0    4    9   93]]",0.661563138,cv3,min_leaf
10,"[[ 277    1    0    0    0    0    0    0    1    0    7]
 [   0  400    0    0    0    0    0    0   18  170    3]
 [   1    1   16    0    0    0    0    0    4    5    1]
 [   0    1    0    0    0    0    0    0    7    1    1]
 [   0    1    0    0   30    0    0    1  390  196    0]
 [   0    0    0    0    1    0    0    0   14  172    0]
 [   0    0    0    0    9    0    0    1  258   38    0]
 [   0    1    0    0    0    0    0  769  108    0    0]
 [   0    3    0    0    1    0    0  143 1400  530    0]
 [   0    1    0    0    3    0    0    0  146 1515    2]
 [ 100    4    0    0    0    0    0    1    6    8   91]]",0.655876349,cv3,min_leaf
1,"[[ 280    0    0    0    0    0    0    0    1    0    5]
 [   1  388    0    0    1    0    0    0   25  172    4]
 [   0    4   16    0    0    0    0    0    4    2    2]
 [   0    2    0    0    1    0    0    0    5    1    1]
 [   0    1    0    0   81    0    0    0  347  189    0]
 [   0    0    0    0    0    0    0    0   16  171    0]
 [   0    0    0    0   21    0    0    0  233   52    0]
 [   1    0    0    0    0    0    0  810   67    0    0]
 [   2    4    0    0    4    0    0  130 1453  484    0]
 [   0    1    0    0    3    0    0    0  187 1476    0]
 [  95    2    0    0    0    0    0    0    3    3  107]]",0.672353456,cv4,min_leaf
2,"[[ 278    0    0    0    0    0    0    0    0    1    7]
 [   0  385    0    0    2    0    0    0   22  177    5]
 [   0    7   15    0    0    0    0    0    3    3    0]
 [   0    1    0    0    2    0    0    0    4    1    2]
 [   0    1    0    0   72    0    0    0  355  190    0]
 [   0    0    0    0    2    0    0    0   12  173    0]
 [   0    0    0    0   17    0    0    0  226   63    0]
 [   1    0    0    0    0    0    0  795   82    0    0]
 [   2    4    0    0    1    0    0  127 1436  507    0]
 [   1    0    0    0    4    0    0    0  157 1505    0]
 [  98    2    0    0    1    0    0    0    2    3  104]]",0.669291339,cv4,min_leaf
5,"[[ 282    0    0    0    0    0    0    0    0    1    3]
 [   2  388    0    0    1    0    0    0   22  175    3]
 [   0    5   15    0    0    0    0    0    4    3    1]
 [   0    1    0    0    0    0    0    0    4    3    2]
 [   0    2    0    0   48    0    0    0  361  207    0]
 [   0    0    0    0    0    0    0    0   14  173    0]
 [   0    0    0    0    9    0    0    0  239   58    0]
 [   1    0    0    0    0    0    0  793   84    0    0]
 [   2    3    0    0    2    0    0  128 1414  528    0]
 [   0    1    0    0    2    0    0    0  150 1514    0]
 [  94    3    0    0    0    0    0    0    5    3  105]]",0.66477107,cv4,min_leaf
10,"[[ 281    0    0    0    0    0    0    0    1    0    4]
 [   1  388    0    0    0    0    0    1   19  180    2]
 [   0    6   15    0    0    0    0    0    5    2    0]
 [   0    2    0    0    0    0    0    0    4    3    1]
 [   0    2    0    0   37    0    0    0  370  209    0]
 [   0    0    0    0    0    0    0    0   12  175    0]
 [   0    0    0    0    8    0    0    0  244   54    0]
 [   1    0    0    0    0    0    0  787   90    0    0]
 [   2    4    0    0    2    0    0  116 1406  547    0]
 [   0    1    0    0    2    0    0    0  140 1524    0]
 [  99    9    0    0    0    0    0    0    4    3   95]]",0.660979878,cv4,min_leaf
1,"[[ 271    1    0    0    0    0    0    0    3    0   11]
 [   0  375    0    0    3    0    0    1   34  173    5]
 [   2    1   17    0    0    0    0    0    4    2    2]
 [   0    1    0    0    0    0    0    0    6    2    1]
 [   0    2    0    0  104    0    0    0  323  189    0]
 [   0    0    0    0    1    0    0    0   30  155    1]
 [   0    0    0    0   23    0    0    0  233   50    0]
 [   0    0    0    0    0    0    0  781   97    0    0]
 [   0    3    0    0    4    0    0  140 1465  465    0]
 [   0    1    0    0    6    0    0    0  198 1461    1]
 [  84    1    0    0    0    0    0    1    4    2  118]]",0.669582969,cv5,min_leaf
